fixture_id,fecha,round,group,home_id,home,away_id,away,venue_name,venue_city,status
100000,2026-06-11,Group Stage,A,Mexico,Mexico,South Africa,South Africa,,Mexico City,NS
100001,2026-06-11,Group Stage,A,South Korea,South Korea,Czech Republic,Czech Republic,,Zapopan,NS
100002,2026-06-12,Group Stage,B,Canada,Canada,Bosnia and Herzegovina,Bosnia and Herzegovina,,Toronto,NS
100003,2026-06-12,Group Stage,D,United States,United States,Paraguay,Paraguay,,Inglewood,NS
100004,2026-06-13,Group Stage,B,Qatar,Qatar,Switzerland,Switzerland,,Santa Clara,NS
100005,2026-06-13,Group Stage,F,Brazil,Brazil,Morocco,Morocco,,East Rutherford,NS
100006,2026-06-13,Group Stage,F,Haiti,Haiti,Scotland,Scotland,,Foxborough,NS
100007,2026-06-13,Group Stage,D,Australia,Australia,Turkey,Turkey,,Vancouver,NS
100008,2026-06-14,Group Stage,J,Germany,Germany,Curaçao,Curaçao,,Houston,NS
100009,2026-06-14,Group Stage,J,Ivory Coast,Ivory Coast,Ecuador,Ecuador,,Philadelphia,NS
100010,2026-06-14,Group Stage,L,Netherlands,Netherlands,Japan,Japan,,Arlington,NS
100011,2026-06-14,Group Stage,L,Sweden,Sweden,Tunisia,Tunisia,,Guadalupe,NS
100012,2026-06-15,Group Stage,E,Belgium,Belgium,Egypt,Egypt,,Seattle,NS
100013,2026-06-15,Group Stage,E,Iran,Iran,New Zealand,New Zealand,,Inglewood,NS
100014,2026-06-15,Group Stage,G,Spain,Spain,Cape Verde,Cape Verde,,Atlanta,NS
100015,2026-06-15,Group Stage,G,Saudi Arabia,Saudi Arabia,Uruguay,Uruguay,,Miami Gardens,NS
100016,2026-06-16,Group Stage,K,France,France,Senegal,Senegal,,East Rutherford,NS
100017,2026-06-16,Group Stage,K,Iraq,Iraq,Norway,Norway,,Foxborough,NS
100018,2026-06-16,Group Stage,C,Argentina,Argentina,Algeria,Algeria,,Kansas City,NS
100019,2026-06-16,Group Stage,C,Austria,Austria,Jordan,Jordan,,Santa Clara,NS
100020,2026-06-17,Group Stage,H,Portugal,Portugal,DR Congo,DR Congo,,Houston,NS
100021,2026-06-17,Group Stage,H,Uzbekistan,Uzbekistan,Colombia,Colombia,,Mexico City,NS
100022,2026-06-17,Group Stage,I,England,England,Croatia,Croatia,,Arlington,NS
100023,2026-06-17,Group Stage,I,Ghana,Ghana,Panama,Panama,,Toronto,NS
100024,2026-06-18,Group Stage,A,Czech Republic,Czech Republic,South Africa,South Africa,,Atlanta,NS
100025,2026-06-18,Group Stage,A,Mexico,Mexico,South Korea,South Korea,,Zapopan,NS
100026,2026-06-18,Group Stage,B,Switzerland,Switzerland,Bosnia and Herzegovina,Bosnia and Herzegovina,,Inglewood,NS
