fixture_id,group,home,away,localia,xg_home,xg_away,p_local,p_empate,p_visita,marcador_prob
100000,A,Mexico,South Africa,1,1.457,0.885,0.5048,0.2663,0.2289,1-0
100001,A,South Korea,Czech Republic,0,1.406,1.144,0.4296,0.2642,0.3063,1-1
100002,B,Canada,Bosnia and Herzegovina,1,1.771,0.822,0.5989,0.2304,0.1707,1-0
100003,D,United States,Paraguay,1,1.548,1.127,0.4702,0.2529,0.2769,1-1
100004,B,Qatar,Switzerland,0,0.965,1.743,0.2074,0.2358,0.5568,0-1
100005,F,Brazil,Morocco,0,0.937,1.353,0.2595,0.2765,0.4640,0-1
100006,F,Haiti,Scotland,0,1.403,1.232,0.4093,0.2607,0.3300,1-1
100007,D,Australia,Turkey,0,1.286,1.095,0.4082,0.2763,0.3155,1-1
100008,J,Germany,Curaçao,0,1.673,1.131,0.5004,0.2422,0.2574,1-1
100009,J,Ivory Coast,Ecuador,0,0.907,0.787,0.3634,0.3404,0.2962,0-0
100010,L,Netherlands,Japan,0,1.206,1.581,0.2911,0.2484,0.4605,1-1
100011,L,Sweden,Tunisia,0,1.099,1.319,0.3103,0.2733,0.4164,1-1
100012,E,Belgium,Egypt,0,1.246,0.996,0.4195,0.2851,0.2953,1-0
100013,E,Iran,New Zealand,0,1.424,1.083,0.4485,0.2648,0.2867,1-1
100014,G,Spain,Cape Verde,0,1.736,0.837,0.5871,0.2346,0.1783,1-0
100015,G,Saudi Arabia,Uruguay,0,0.804,1.012,0.2811,0.3246,0.3943,0-1
100016,K,France,Senegal,0,1.143,1.255,0.3346,0.2762,0.3891,1-1
100017,K,Iraq,Norway,0,0.958,1.396,0.2582,0.2714,0.4704,0-1
100018,C,Argentina,Algeria,0,1.211,1.069,0.3929,0.2843,0.3229,1-1
100019,C,Austria,Jordan,0,1.485,1.080,0.4649,0.2595,0.2755,1-1
100020,H,Portugal,DR Congo,0,1.143,0.898,0.4128,0.3016,0.2856,1-0
100021,H,Uzbekistan,Colombia,0,0.928,1.215,0.2815,0.2918,0.4267,0-1
100022,I,England,Croatia,0,1.246,1.002,0.4182,0.2848,0.2970,1-1
100023,I,Ghana,Panama,0,1.126,1.274,0.3265,0.2757,0.3978,1-1
100024,A,Czech Republic,South Africa,0,1.167,1.113,0.3707,0.2850,0.3442,1-1
100025,A,Mexico,South Korea,1,1.428,1.118,0.4414,0.2633,0.2953,1-1
100026,B,Switzerland,Bosnia and Herzegovina,0,1.657,0.890,0.5547,0.2440,0.2012,1-0
100027,B,Canada,Qatar,1,1.862,0.891,0.6023,0.2223,0.1754,1-0
100028,F,Scotland,Morocco,0,0.783,1.507,0.1946,0.2610,0.5444,0-1
100029,F,Brazil,Haiti,0,1.474,1.260,0.4218,0.2546,0.3236,1-1
100030,D,United States,Australia,1,1.452,1.428,0.3809,0.2487,0.3703,1-1
100031,D,Turkey,Paraguay,0,1.168,1.015,0.3927,0.2916,0.3157,1-1
100032,J,Germany,Ivory Coast,0,1.213,1.199,0.3655,0.2757,0.3588,1-1
100033,J,Ecuador,Curaçao,0,1.085,0.855,0.4052,0.3113,0.2834,1-0
100034,L,Netherlands,Sweden,0,1.860,1.204,0.5272,0.2267,0.2461,1-1
100035,L,Tunisia,Japan,0,0.856,1.444,0.2229,0.2682,0.5090,0-1
100036,E,Belgium,Iran,0,1.306,1.261,0.3778,0.2658,0.3564,1-1
100037,E,New Zealand,Egypt,0,1.033,1.126,0.3293,0.2942,0.3765,1-1
100038,G,Spain,Saudi Arabia,0,1.622,0.832,0.5609,0.2475,0.1916,1-0
100039,G,Uruguay,Cape Verde,0,1.083,0.808,0.4158,0.3148,0.2693,1-0
100040,K,France,Iraq,0,1.280,0.870,0.4599,0.2871,0.2530,1-0
100041,K,Norway,Senegal,0,1.246,1.383,0.3374,0.2615,0.4011,1-1
100042,C,Argentina,Austria,0,1.267,0.980,0.4294,0.2838,0.2868,1-0
100043,C,Jordan,Algeria,0,1.032,1.620,0.2415,0.2478,0.5107,1-1
100044,H,Portugal,Uzbekistan,0,1.326,0.964,0.4499,0.2784,0.2716,1-0
100045,H,Colombia,DR Congo,0,1.048,0.865,0.3910,0.3151,0.2939,1-0
100046,I,England,Ghana,0,1.414,0.815,0.5113,0.2724,0.2164,1-0
100047,I,Panama,Croatia,0,1.122,1.385,0.3042,0.2668,0.4290,1-1
100048,A,Mexico,Czech Republic,1,1.657,1.055,0.5141,0.2443,0.2416,1-1
100049,A,South Africa,South Korea,0,0.960,1.236,0.2867,0.2880,0.4253,0-1
100050,B,Canada,Switzerland,1,1.381,1.194,0.4119,0.2640,0.3241,1-1
100051,B,Bosnia and Herzegovina,Qatar,0,1.200,1.236,0.3542,0.2741,0.3717,1-1
100052,F,Scotland,Brazil,0,1.121,1.494,0.2846,0.2577,0.4577,1-1
100053,F,Morocco,Haiti,0,1.488,0.880,0.5144,0.2629,0.2227,1-0
100054,D,United States,Turkey,1,1.760,1.475,0.4453,0.2304,0.3242,1-1
100055,D,Paraguay,Australia,0,0.837,1.130,0.2695,0.3069,0.4236,0-1
100056,J,Curaçao,Ivory Coast,0,0.929,1.360,0.2564,0.2761,0.4676,0-1
100057,J,Ecuador,Germany,0,0.957,1.116,0.3088,0.3006,0.3906,0-1
100058,L,Japan,Sweden,0,2.054,1.014,0.6137,0.2071,0.1792,2-1
100059,L,Tunisia,Netherlands,0,1.015,1.307,0.2894,0.2782,0.4324,1-1
100060,E,Egypt,Iran,0,0.960,1.159,0.3014,0.2960,0.4027,0-1
100061,E,New Zealand,Belgium,0,1.124,1.531,0.2788,0.2544,0.4668,1-1
100062,G,Cape Verde,Saudi Arabia,0,0.952,1.012,0.3281,0.3117,0.3601,0-1
100063,G,Uruguay,Spain,0,0.890,1.378,0.2425,0.2751,0.4824,0-1
100064,K,Norway,France,0,1.344,1.358,0.3678,0.2580,0.3742,1-1
100065,K,Senegal,Iraq,0,1.303,0.806,0.4826,0.2864,0.2309,1-0
100066,C,Algeria,Austria,0,1.280,1.120,0.4008,0.2755,0.3237,1-1
100067,C,Jordan,Argentina,0,0.903,1.604,0.2116,0.2499,0.5385,0-1
100068,H,Colombia,Portugal,0,1.269,1.335,0.3529,0.2635,0.3836,1-1
100069,H,DR Congo,Uzbekistan,0,0.859,0.795,0.3452,0.3459,0.3090,0-0
100070,I,Panama,England,0,0.940,1.442,0.2457,0.2669,0.4874,0-1
100071,I,Croatia,Ghana,0,1.358,0.973,0.4565,0.2749,0.2687,1-0
