fixture_id,fecha,confederacion,league_id,season,round,home_id,home,away_id,away,goles_local,goles_visita,status
1,2023-01-02,AFF Championship,,2023,,Thailand,Thailand,Cambodia,Cambodia,3,1,FT
2,2023-01-02,AFF Championship,,2023,,Philippines,Philippines,Indonesia,Indonesia,1,2,FT
3,2023-01-03,AFF Championship,,2023,,Vietnam,Vietnam,Myanmar,Myanmar,3,0,FT
4,2023-01-03,AFF Championship,,2023,,Malaysia,Malaysia,Singapore,Singapore,4,1,FT
5,2023-01-06,Gulf Cup,,2023,,Iraq,Iraq,Oman,Oman,0,0,FT
6,2023-01-06,Gulf Cup,,2023,,Yemen,Yemen,Saudi Arabia,Saudi Arabia,0,2,FT
7,2023-01-06,AFF Championship,,2023,,Indonesia,Indonesia,Vietnam,Vietnam,0,0,FT
8,2023-01-07,Gulf Cup,,2023,,Bahrain,Bahrain,United Arab Emirates,United Arab Emirates,2,1,FT
9,2023-01-07,Gulf Cup,,2023,,Kuwait,Kuwait,Qatar,Qatar,0,2,FT
10,2023-01-07,AFF Championship,,2023,,Malaysia,Malaysia,Thailand,Thailand,1,0,FT
11,2023-01-08,Friendly,,2023,,Iceland,Iceland,Estonia,Estonia,1,1,FT
12,2023-01-09,Friendly,,2023,,Sweden,Sweden,Finland,Finland,2,0,FT
13,2023-01-09,Gulf Cup,,2023,,Oman,Oman,Yemen,Yemen,3,2,FT
14,2023-01-09,Gulf Cup,,2023,,Iraq,Iraq,Saudi Arabia,Saudi Arabia,2,0,FT
15,2023-01-09,AFF Championship,,2023,,Vietnam,Vietnam,Indonesia,Indonesia,2,0,FT
16,2023-01-10,Gulf Cup,,2023,,United Arab Emirates,United Arab Emirates,Kuwait,Kuwait,0,1,FT
17,2023-01-10,Gulf Cup,,2023,,Qatar,Qatar,Bahrain,Bahrain,1,2,FT
18,2023-01-10,AFF Championship,,2023,,Thailand,Thailand,Malaysia,Malaysia,3,0,FT
19,2023-01-12,Friendly,,2023,,Finland,Finland,Estonia,Estonia,0,1,FT
20,2023-01-12,Friendly,,2023,,Sweden,Sweden,Iceland,Iceland,2,1,FT
21,2023-01-12,Gulf Cup,,2023,,Iraq,Iraq,Yemen,Yemen,5,0,FT
22,2023-01-12,Gulf Cup,,2023,,Saudi Arabia,Saudi Arabia,Oman,Oman,1,2,FT
23,2023-01-13,Gulf Cup,,2023,,Bahrain,Bahrain,Kuwait,Kuwait,1,1,FT
24,2023-01-13,Gulf Cup,,2023,,Qatar,Qatar,United Arab Emirates,United Arab Emirates,1,1,FT
25,2023-01-13,AFF Championship,,2023,,Vietnam,Vietnam,Thailand,Thailand,2,2,FT
26,2023-01-16,Gulf Cup,,2023,,Iraq,Iraq,Qatar,Qatar,2,1,FT
27,2023-01-16,Gulf Cup,,2023,,Bahrain,Bahrain,Oman,Oman,0,1,FT
28,2023-01-16,AFF Championship,,2023,,Thailand,Thailand,Vietnam,Vietnam,1,0,FT
29,2023-01-19,Gulf Cup,,2023,,Iraq,Iraq,Oman,Oman,3,2,FT
30,2023-01-25,Friendly,,2023,,United States,United States,Serbia,Serbia,1,2,FT
31,2023-01-28,Friendly,,2023,,United States,United States,Colombia,Colombia,0,0,FT
32,2023-02-22,Friendly,,2023,,Grenada,Grenada,Barbados,Barbados,1,1,FT
33,2023-02-26,Friendly,,2023,,Grenada,Grenada,Barbados,Barbados,2,2,FT
34,2023-03-03,Friendly,,2023,,Grenada,Grenada,Saint Lucia,Saint Lucia,1,2,FT
35,2023-03-04,Friendly,,2023,,Saint Barthélemy,Saint Barthélemy,Sint Maarten,Sint Maarten,5,1,FT
36,2023-03-05,Friendly,,2023,,Grenada,Grenada,Saint Lucia,Saint Lucia,2,0,FT
37,2023-03-10,Friendly,,2023,,Saint Martin,Saint Martin,Saint Barthélemy,Saint Barthélemy,3,2,FT
38,2023-03-11,Friendly,,2023,,Jamaica,Jamaica,Trinidad and Tobago,Trinidad and Tobago,0,1,FT
39,2023-03-12,Friendly,,2023,,Guatemala,Guatemala,Panama,Panama,1,1,FT
40,2023-03-14,Friendly,,2023,,Jamaica,Jamaica,Trinidad and Tobago,Trinidad and Tobago,0,0,FT
41,2023-03-15,Friendly,,2023,,Bangladesh,Bangladesh,Malawi,Malawi,1,1,FT
42,2023-03-19,Friendly,,2023,,Ethiopia,Ethiopia,Rwanda,Rwanda,1,0,FT
43,2023-03-20,Friendly,,2023,,Fiji,Fiji,Vanuatu,Vanuatu,1,2,FT
44,2023-03-21,Friendly,,2023,,Maldives,Maldives,Pakistan,Pakistan,1,0,FT
45,2023-03-21,Friendly,,2023,,Tahiti,Tahiti,New Caledonia,New Caledonia,0,2,FT
46,2023-03-22,Friendly,,2023,,Honduras,Honduras,El Salvador,El Salvador,1,0,FT
47,2023-03-22,Tri Nation Tournament,,2023,,India,India,Myanmar,Myanmar,1,0,FT
48,2023-03-22,Tri Nation Tournament,,2023,,Nepal,Nepal,Laos,Laos,2,0,FT
49,2023-03-22,Friendly,,2023,,Republic of Ireland,Republic of Ireland,Latvia,Latvia,3,2,FT
50,2023-03-22,African Cup of Nations qualification,,2023,,Sierra Leone,Sierra Leone,São Tomé and Príncipe,São Tomé and Príncipe,2,2,FT
51,2023-03-22,African Cup of Nations qualification,,2023,,Benin,Benin,Rwanda,Rwanda,1,1,FT
52,2023-03-23,Friendly,,2023,,Argentina,Argentina,Panama,Panama,2,0,FT
53,2023-03-23,Friendly,,2023,,Hong Kong,Hong Kong,Singapore,Singapore,1,1,FT
54,2023-03-23,Friendly,,2023,,Hungary,Hungary,Estonia,Estonia,1,0,FT
55,2023-03-23,Friendly,,2023,,Iran,Iran,Russia,Russia,1,1,FT
56,2023-03-23,Friendly,,2023,,Malaysia,Malaysia,Turkmenistan,Turkmenistan,1,0,FT
57,2023-03-23,Friendly,,2023,,New Zealand,New Zealand,China,China,0,0,FT
58,2023-03-23,Friendly,,2023,,Solomon Islands,Solomon Islands,Vanuatu,Vanuatu,2,0,FT
59,2023-03-23,African Cup of Nations qualification,,2023,,Madagascar,Madagascar,Central African Republic,Central African Republic,0,3,FT
60,2023-03-23,African Cup of Nations qualification,,2023,,Ghana,Ghana,Angola,Angola,1,0,FT
61,2023-03-23,African Cup of Nations qualification,,2023,,Algeria,Algeria,Niger,Niger,2,1,FT
62,2023-03-23,African Cup of Nations qualification,,2023,,Congo,Congo,South Sudan,South Sudan,1,2,FT
63,2023-03-23,African Cup of Nations qualification,,2023,,Zambia,Zambia,Lesotho,Lesotho,3,1,FT
64,2023-03-23,African Cup of Nations qualification,,2023,,Gabon,Gabon,Sudan,Sudan,1,0,FT
65,2023-03-23,UEFA Euro qualification,,2023,,Italy,Italy,England,England,1,2,FT
66,2023-03-23,UEFA Euro qualification,,2023,,North Macedonia,North Macedonia,Malta,Malta,2,1,FT
67,2023-03-23,UEFA Euro qualification,,2023,,Denmark,Denmark,Finland,Finland,3,1,FT
68,2023-03-23,UEFA Euro qualification,,2023,,San Marino,San Marino,Northern Ireland,Northern Ireland,0,2,FT
69,2023-03-23,UEFA Euro qualification,,2023,,Kazakhstan,Kazakhstan,Slovenia,Slovenia,1,2,FT
70,2023-03-23,UEFA Euro qualification,,2023,,Portugal,Portugal,Liechtenstein,Liechtenstein,4,0,FT
71,2023-03-23,UEFA Euro qualification,,2023,,Bosnia and Herzegovina,Bosnia and Herzegovina,Iceland,Iceland,3,0,FT
72,2023-03-23,UEFA Euro qualification,,2023,,Slovakia,Slovakia,Luxembourg,Luxembourg,0,0,FT
73,2023-03-23,CONCACAF Nations League,,2023,,Suriname,Suriname,Mexico,Mexico,0,2,FT
74,2023-03-23,CONCACAF Nations League,,2023,,Barbados,Barbados,Cuba,Cuba,0,1,FT
75,2023-03-23,CONCACAF Nations League,,2023,,Guadeloupe,Guadeloupe,Antigua and Barbuda,Antigua and Barbuda,0,1,FT
76,2023-03-23,CONCACAF Nations League,,2023,,French Guiana,French Guiana,Dominican Republic,Dominican Republic,1,1,FT
77,2023-03-23,CONCACAF Nations League,,2023,,Saint Martin,Saint Martin,Saint Kitts and Nevis,Saint Kitts and Nevis,1,3,FT
78,2023-03-23,CONCACAF Nations League,,2023,,British Virgin Islands,British Virgin Islands,Puerto Rico,Puerto Rico,1,3,FT
79,2023-03-24,Friendly,,2023,,Australia,Australia,Ecuador,Ecuador,3,1,FT
80,2023-03-24,Friendly,,2023,,Japan,Japan,Uruguay,Uruguay,1,1,FT
81,2023-03-24,Friendly,,2023,,South Korea,South Korea,Colombia,Colombia,2,2,FT
82,2023-03-24,Friendly,,2023,,Kuwait,Kuwait,Philippines,Philippines,2,0,FT
83,2023-03-24,Friendly,,2023,,Saudi Arabia,Saudi Arabia,Venezuela,Venezuela,1,2,FT
84,2023-03-24,Friendly,,2023,,Tahiti,Tahiti,New Caledonia,New Caledonia,2,1,FT
85,2023-03-24,Friendly,,2023,,Uzbekistan,Uzbekistan,Bolivia,Bolivia,1,0,FT
86,2023-03-24,African Cup of Nations qualification,,2023,,Nigeria,Nigeria,Guinea-Bissau,Guinea-Bissau,0,1,FT
87,2023-03-24,African Cup of Nations qualification,,2023,,Cape Verde,Cape Verde,Eswatini,Eswatini,0,0,FT
88,2023-03-24,African Cup of Nations qualification,,2023,,Burkina Faso,Burkina Faso,Togo,Togo,1,0,FT
89,2023-03-24,African Cup of Nations qualification,,2023,,Cameroon,Cameroon,Namibia,Namibia,1,1,FT
90,2023-03-24,African Cup of Nations qualification,,2023,,Guinea,Guinea,Ethiopia,Ethiopia,2,0,FT
91,2023-03-24,African Cup of Nations qualification,,2023,,Egypt,Egypt,Malawi,Malawi,2,0,FT
92,2023-03-24,African Cup of Nations qualification,,2023,,Uganda,Uganda,Tanzania,Tanzania,0,1,FT
93,2023-03-24,African Cup of Nations qualification,,2023,,Mali,Mali,Gambia,Gambia,2,0,FT
94,2023-03-24,African Cup of Nations qualification,,2023,,Ivory Coast,Ivory Coast,Comoros,Comoros,3,1,FT
