team_id,team,confederacion,ataque,defensa,net,n_partidos,fifa_points,fuente,fecha_corte
Argentina,Argentina,FIFA World Cup qualification,0.4991,-0.6829,1.1820,38,1889.02,dixon_coles,2026-06-07
France,France,UEFA Nations League,0.5587,-0.5603,1.1189,39,1851.92,dixon_coles,2026-06-07
Spain,Spain,UEFA Nations League,0.6684,-0.4443,1.1127,40,1836.42,dixon_coles,2026-06-07
England,England,Friendly,0.4909,-0.5784,1.0693,40,1817.28,dixon_coles,2026-06-07
Belgium,Belgium,Friendly,0.5431,-0.4264,0.9695,38,1768.14,dixon_coles,2026-06-07
Portugal,Portugal,UEFA Euro qualification,0.5803,-0.3776,0.9580,39,1752.14,dixon_coles,2026-06-07
Brazil,Brazil,FIFA World Cup qualification,0.4716,-0.4825,0.9541,37,1772.02,dixon_coles,2026-06-07
Netherlands,Netherlands,UEFA Nations League,0.5822,-0.3708,0.9530,39,1759.95,dixon_coles,2026-06-07
Colombia,Colombia,Friendly,0.4764,-0.4369,0.9134,42,1738.72,dixon_coles,2026-06-07
Germany,Germany,Friendly,0.5286,-0.3174,0.8460,40,1692.19,dixon_coles,2026-06-07
Croatia,Croatia,UEFA Nations League,0.4187,-0.4239,0.8425,37,1699.6,dixon_coles,2026-06-07
Morocco,Morocco,Friendly,0.3562,-0.4791,0.8352,51,1676.14,dixon_coles,2026-06-07
Uruguay,Uruguay,FIFA World Cup qualification,0.2636,-0.5716,0.8352,39,1701.34,dixon_coles,2026-06-07
Japan,Japan,FIFA World Cup qualification,0.4973,-0.2749,0.7722,38,1639.6,dixon_coles,2026-06-07
Switzerland,Switzerland,Friendly,0.4030,-0.3346,0.7376,39,1641,dixon_coles,2026-06-07
Senegal,Senegal,Friendly,0.3364,-0.3896,0.7260,44,1620.87,dixon_coles,2026-06-07
Mexico,Mexico,Friendly,0.2483,-0.4754,0.7237,57,1635.66,dixon_coles,2026-06-07
Iran,Iran,FIFA World Cup qualification,0.3543,-0.3563,0.7105,39,1622.92,dixon_coles,2026-06-07
United States,United States,Friendly,0.4104,-0.2932,0.7036,54,1632.19,dixon_coles,2026-06-07
Austria,Austria,Friendly,0.3366,-0.3106,0.6473,37,1580.37,dixon_coles,2026-06-07
South Korea,South Korea,Friendly,0.3443,-0.2774,0.6217,41,1572.61,dixon_coles,2026-06-07
Australia,Australia,FIFA World Cup qualification,0.2610,-0.3251,0.5860,38,1544.3,dixon_coles,2026-06-07
Turkey,Turkey,Friendly,0.3413,-0.2247,0.5660,39,1538.52,dixon_coles,2026-06-07
Ecuador,Ecuador,FIFA World Cup qualification,0.0077,-0.5463,0.5540,39,1535.43,dixon_coles,2026-06-07
Sweden,Sweden,Friendly,0.3824,-0.1364,0.5188,37,1528.18,dixon_coles,2026-06-07
Ivory Coast,Ivory Coast,African Cup of Nations,0.1660,-0.3506,0.5166,44,1509.12,dixon_coles,2026-06-07
Egypt,Egypt,African Cup of Nations,0.1338,-0.3764,0.5102,47,1515.64,dixon_coles,2026-06-07
Tunisia,Tunisia,Friendly,0.1329,-0.3623,0.4952,46,1504.86,dixon_coles,2026-06-07
Canada,Canada,Friendly,0.1891,-0.3056,0.4947,43,1502.31,dixon_coles,2026-06-07
Algeria,Algeria,Friendly,0.2775,-0.2123,0.4898,48,1486.03,dixon_coles,2026-06-07
Panama,Panama,Friendly,0.2567,-0.2325,0.4892,55,1502.55,dixon_coles,2026-06-07
Norway,Norway,Friendly,0.4469,-0.0415,0.4884,34,1472.16,dixon_coles,2026-06-07
Czech Republic,Czech Republic,Friendly,0.2669,-0.1674,0.4343,37,1473.19,dixon_coles,2026-06-07
Scotland,Scotland,Friendly,0.2226,-0.1932,0.4158,37,1461.75,dixon_coles,2026-06-07
Qatar,Qatar,FIFA World Cup qualification,0.2615,-0.1423,0.4039,50,1481.69,dixon_coles,2026-06-07
Iraq,Iraq,FIFA World Cup qualification,0.0690,-0.2970,0.3660,47,1435.9,dixon_coles,2026-06-07
DR Congo,DR Congo,FIFA World Cup qualification,-0.0309,-0.3831,0.3522,44,1416.91,dixon_coles,2026-06-07
Paraguay,Paraguay,FIFA World Cup qualification,0.0216,-0.3297,0.3513,33,1423.98,dixon_coles,2026-06-07
Uzbekistan,Uzbekistan,FIFA World Cup qualification,0.0423,-0.3077,0.3500,41,1413.06,dixon_coles,2026-06-07
Saudi Arabia,Saudi Arabia,Friendly,0.0449,-0.3042,0.3491,56,1433.16,dixon_coles,2026-06-07
South Africa,South Africa,Friendly,0.1270,-0.2019,0.3288,49,1415.07,dixon_coles,2026-06-07
Jordan,Jordan,Friendly,0.1966,-0.0918,0.2884,51,1377.52,dixon_coles,2026-06-07
Cape Verde,Cape Verde,African Cup of Nations qualification,0.0468,-0.2052,0.2521,40,1379.17,dixon_coles,2026-06-07
Ghana,Ghana,African Cup of Nations qualification,0.0878,-0.1469,0.2347,36,1360.43,dixon_coles,2026-06-07
Bosnia and Herzegovina,Bosnia and Herzegovina,UEFA Euro qualification,0.0747,-0.0912,0.1659,33,1332.39,dixon_coles,2026-06-07
Haiti,Haiti,CONCACAF Nations League,0.1752,0.0591,0.1161,34,1278.56,dixon_coles,2026-06-07
Curaçao,Curaçao,CONCACAF Nations League,0.0624,-0.0112,0.0736,34,1261.38,dixon_coles,2026-06-07
New Zealand,New Zealand,Friendly,0.1136,0.0413,0.0722,33,1247.08,dixon_coles,2026-06-07
