team_id,team,code,country
Mexico,Mexico,,Mexico
South Africa,South Africa,,South Africa
South Korea,South Korea,,South Korea
Czech Republic,Czech Republic,,Czech Republic
Canada,Canada,,Canada
Bosnia and Herzegovina,Bosnia and Herzegovina,,Bosnia and Herzegovina
Qatar,Qatar,,Qatar
Switzerland,Switzerland,,Switzerland
United States,United States,,United States
Paraguay,Paraguay,,Paraguay
Australia,Australia,,Australia
Turkey,Turkey,,Turkey
Brazil,Brazil,,Brazil
Morocco,Morocco,,Morocco
Haiti,Haiti,,Haiti
Scotland,Scotland,,Scotland
Germany,Germany,,Germany
Curaçao,Curaçao,,Curaçao
Ivory Coast,Ivory Coast,,Ivory Coast
Ecuador,Ecuador,,Ecuador
Netherlands,Netherlands,,Netherlands
Japan,Japan,,Japan
Sweden,Sweden,,Sweden
Tunisia,Tunisia,,Tunisia
Belgium,Belgium,,Belgium
Egypt,Egypt,,Egypt
Iran,Iran,,Iran
New Zealand,New Zealand,,New Zealand
Spain,Spain,,Spain
Cape Verde,Cape Verde,,Cape Verde
Saudi Arabia,Saudi Arabia,,Saudi Arabia
Uruguay,Uruguay,,Uruguay
France,France,,France
Senegal,Senegal,,Senegal
Iraq,Iraq,,Iraq
Norway,Norway,,Norway
Argentina,Argentina,,Argentina
Algeria,Algeria,,Algeria
Austria,Austria,,Austria
Jordan,Jordan,,Jordan
Portugal,Portugal,,Portugal
DR Congo,DR Congo,,DR Congo
Uzbekistan,Uzbekistan,,Uzbekistan
Colombia,Colombia,,Colombia
England,England,,England
Croatia,Croatia,,Croatia
Ghana,Ghana,,Ghana
Panama,Panama,,Panama
